cota cotb p flp localx localy pT hittime PID
1.12268 6.60351 0.03618 0 17.16702 25.49273 0.01457 -0.00972 -11
0.23225 10.38792 0.03618 0 -0.42745 30.16500 0.01457 -0.01442 -11
-2.14938 9.36544 0.03618 0 29.57005 -7.43813 0.01457 -0.01187 -11
-0.06281 7.96582 0.03618 0 -4.65247 30.16500 0.01457 -0.01137 -11
-0.95956 7.60261 0.03618 0 -25.71765 16.94210 0.01457 -0.00909 -11
4.43434 104.73793 0.00308 0 -25.77725 16.88250 0.00151 -0.00866 11
1.37073 211.70003 0.00228 0 13.30043 -27.11557 0.00045 1.47731 -11
1.29876 219.81108 0.00333 0 -26.87191 13.95042 0.00198 -0.11338 11
6.91172 44.99568 0.00333 0 5.43141 30.40060 0.00198 -0.10246 11
-1.64061 29882.67891 0.00333 0 26.46839 -16.19743 0.00198 1.38149 11
0.54256 72.17647 0.00045 0 -8.48082 -29.15674 0.00038 -0.19566 22
-0.62762 65.75917 0.00037 0 -15.22996 26.31554 0.00017 -0.15061 22
-0.25413 231.65267 0.00088 0 -7.66757 30.16500 0.00030 0.80643 22
14.17468 467.73981 0.00096 0 2.08195 30.14000 0.00051 0.66788 22
-1.20410 1107.62851 0.00051 0 -30.17191 -8.10595 0.00015 0.89921 22
0.09269 237.86265 0.00065 0 17.33307 -25.47077 0.00044 0.47520 22
0.33054 26.54835 0.00624 0 -13.05689 27.24202 0.00475 1.37359 11
-1.12282 178.12609 0.00140 0 15.71098 -26.15188 0.00047 0.52740 22
1.64442 37.14695 0.00560 0 -28.09278 11.00298 0.00047 1.29038 11
0.33167 41.97448 0.00636 0 -11.11963 28.04446 0.00051 1.16359 -11
0.20672 464.30712 0.00115 0 -7.64984 29.48504 0.00107 1.10916 22
-0.97858 871.21224 0.00493 0 26.98148 -13.62247 0.00083 0.00652 22
0.24013 31.90430 0.00409 0 26.02970 -16.63005 0.00071 0.04023 11
-0.48604 32.91007 0.00429 0 30.49827 -5.19561 0.00371 1.85818 11
1.80622 17.07113 0.00429 0 17.04341 25.61635 0.00371 1.53320 11
